Race/Ethnicity,Gender,Employee Type,Years At Western
Asian,Female,State Classified,13
TBD - S,Not Declared,Academic,6
Black,Not Declared,Professional,1
TBD - I,Female,Professional,8
TBD - S,Non Binary,Professional,11
Asian,Female,Academic,3
TBD - S,Non Binary,Professional,7
White,Non Binary,Professional,13
White,Female,State Classified,8
TBD - S,Male,Professional,13
Asian,Female,Professional,7
Asian,Female,Professional,0
TBD - U,Male,Professional,12
TBD - P,Male,Professional,13
Asian,Female,Professional,6
TBD - U,Female,State Classified,4
TBD - S,Not Declared,State Classified,10
Asian,Female,State Classified,4
TBD - S,Non Binary,Professional,13
TBD - P,Not Declared,State Classified,3
Asian,Non Binary,Professional,9
Black,Female,Professional,7
Black,Male,Professional,4
TBD - P,Male,Professional,2
TBD - U,Not Declared,Professional,6
TBD - U,Not Declared,Professional,11
TBD - U,Not Declared,Professional,3
TBD - P,Not Declared,Professional,5
TBD - I,Female,Academic,7
TBD - U,Male,State Classified,2
TBD - U,Male,State Classified,12
TBD - U,Female,Academic,5
Asian,Non Binary,State Classified,13
Asian,Male,Academic,0
Asian,Male,State Classified,5
Asian,Non Binary,Professional,13
White,Female,Academic,7
Black,Male,Academic,2
TBD - S,Not Declared,Academic,8
Black,Not Declared,Academic,12
Black,Non Binary,State Classified,12
TBD - P,Non Binary,Professional,5
Hispanic,Male,Professional,9
TBD - S,Non Binary,Professional,12
Asian,Female,Professional,13
Asian,Not Declared,Professional,7
Hispanic,Non Binary,Professional,7
TBD - U,Female,State Classified,10
Hispanic,Non Binary,State Classified,0
Black,Not Declared,State Classified,0
White,Female,Professional,1
TBD - U,Female,Academic,8
White,Male,Professional,8
TBD - P,Female,State Classified,1
White,Female,Academic,2
TBD - P,Female,Academic,1
Asian,Female,Academic,3
Asian,Female,State Classified,10
Asian,Non Binary,Professional,3
TBD - P,Male,Professional,4
TBD - U,Not Declared,Academic,2
TBD - I,Male,Professional,13
White,Female,Professional,7
Black,Female,Professional,7
TBD - U,Female,Professional,12
TBD - P,Not Declared,Academic,12
TBD - U,Male,Professional,8
TBD - U,Not Declared,Professional,10
Hispanic,Female,Professional,10
Hispanic,Female,Academic,1
White,Not Declared,Professional,9
Black,Female,State Classified,4
Hispanic,Female,Professional,6
Black,Female,Professional,10
TBD - S,Not Declared,Academic,12
Hispanic,Female,Academic,6
TBD - U,Female,Academic,8
TBD - S,Male,Professional,2
Hispanic,Female,Academic,6
Asian,Non Binary,Academic,3
TBD - S,Non Binary,Professional,9
TBD - U,Female,Professional,4
TBD - P,Male,Professional,6
TBD - I,Not Declared,Academic,8
TBD - I,Female,Professional,12
TBD - S,Not Declared,Professional,11
TBD - S,Not Declared,Professional,6
White,Female,Professional,9
TBD - S,Female,Academic,11
Black,Male,Academic,4
Hispanic,Male,Academic,2
White,Female,Professional,10
Asian,Non Binary,Professional,6
Hispanic,Non Binary,Professional,13
TBD - S,Male,Academic,4
TBD - P,Non Binary,Professional,8
TBD - P,Female,Professional,2
White,Not Declared,Professional,7
TBD - P,Female,Academic,1
White,Male,Professional,13
White,Not Declared,Professional,5
Hispanic,Male,Professional,13
TBD - I,Male,State Classified,10
TBD - U,Female,Academic,2
TBD - I,Female,Professional,5
TBD - I,Female,State Classified,9
Hispanic,Male,Academic,2
Hispanic,Non Binary,Professional,5
Asian,Female,Academic,1
Asian,Non Binary,Professional,10
TBD - I,Male,Professional,1
Asian,Female,Professional,2
Asian,Not Declared,Professional,6
White,Not Declared,State Classified,4
Asian,Female,State Classified,3
White,Non Binary,Academic,5
TBD - I,Female,Professional,9
TBD - I,Non Binary,State Classified,4
TBD - I,Non Binary,State Classified,11
Hispanic,Not Declared,Professional,2
TBD - I,Not Declared,Professional,4
Asian,Not Declared,State Classified,11
Asian,Female,Academic,11
TBD - I,Female,Academic,4
TBD - P,Female,Professional,11
Asian,Male,Professional,7
TBD - P,Female,Professional,10
TBD - U,Not Declared,State Classified,2
Hispanic,Female,Professional,8
White,Male,Academic,5
White,Not Declared,Professional,3
TBD - I,Female,Academic,7
TBD - P,Male,State Classified,10
Hispanic,Not Declared,Professional,3
TBD - P,Female,Professional,9
Asian,Non Binary,Professional,5
TBD - I,Male,Professional,13
TBD - P,Not Declared,State Classified,7
Hispanic,Female,Academic,10
TBD - S,Female,Academic,11
TBD - P,Female,State Classified,0
TBD - I,Not Declared,Professional,6
TBD - P,Not Declared,Professional,9
Black,Male,State Classified,3
TBD - P,Female,Professional,5
White,Female,Professional,0
Black,Female,Professional,1
Black,Non Binary,State Classified,5
TBD - I,Male,Professional,6
White,Female,State Classified,9
Hispanic,Not Declared,State Classified,3
Asian,Non Binary,Professional,3
TBD - S,Not Declared,Professional,0
Asian,Female,Professional,7
Hispanic,Non Binary,Academic,1
Asian,Female,State Classified,12
Asian,Male,Professional,11
Hispanic,Non Binary,State Classified,4
White,Female,Academic,13
White,Male,Professional,8
TBD - P,Not Declared,State Classified,9
TBD - U,Not Declared,Professional,12
TBD - P,Female,Academic,13
TBD - P,Female,State Classified,2
Asian,Female,Professional,3
White,Female,Academic,9
TBD - S,Female,Professional,8
TBD - P,Female,Academic,8
TBD - P,Non Binary,Academic,4
TBD - I,Male,State Classified,4
