Years At Western,Time Type,Job Family,Department,Race Ethnicity,Veteran Status,Veteran Status (External),Disability Status,Disability Status (External),Age,Gender
39,Full time,Administrative,Academic Affairs,American Indian or Alaska Native ,Not Specified,Not Specified,Not Specified,Not Specified,15,Female
34,Full time,Administrative,Academic Affairs,American Indian or Alaska Native ,Not Specified,Not Specified,Not Specified,Not Specified,20,Female
29,Full time,Administrative,Academic Affairs,Asian ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",20,Female
29,Full time,Administrative,Academic Affairs,Asian ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",20,Female
27,Full time,Administrative,Academic Affairs,Asian ,Not Specified,Not Specified,Not Specified,Not Specified,21,Female
27,Full time,Administrative,Academic Affairs,Asian ,Not Specified,Not Specified,Not Specified,Not Specified,21,Female
27,Full time,Administrative,Academic Resource Center,Asian ,Not Specified,Not Specified,Not Specified,Not Specified,21,Female
27,Full time,Administrative,Academic Resource Center,Asian ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",21,Female
26,Full time,Administrative,Academic Support Services,Asian ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",22,Female
26,Full time,Administrative,Academic Support Services,Two or More Races ,Not Specified,Not Specified,Not Specified,Not Specified,22,Female
25,Full time,Administrative,Academic Support Services,Asian ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",22,Female
25,Full time,Administrative,Academic Support Services,Black or African American ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",23,Female
25,Full time,Administrative,Academic Support Services,Black or African American ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",23,Female
25,Full time,Administrative,Academic Support Services,Black or African American ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",23,Female
25,Full time,Administrative,Academic Support Services,Black or African American ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",23,Female
24,Full time,Administrative,Accounting,Black or African American ,Not Specified,Not Specified,Not Specified,Not Specified,23,Female
24,Full time,Administrative,Accounting,Black or African American ,Not Specified,Not Specified,Not Specified,Not Specified,23,Female
